,Medicines,Common_Names
0,5-Hydroxytryptophan,"
2-Amino-3-(5-Hydroxy-1H-Indol-3-yl)Propanoic Acid
5 Hydroxy-Tryptophane
5-HTP
5-Hydroxy
5-Hydroxy L-Tryptophan
5-Hydroxy L-Tryptophane
5-Hydroxy Tryptophan
5-Hydroxytryptophan
5-Hydroxytryptophane
5-L-Hydroxytryptophan
5HTP
Griffonia Extract
Griffonia simplicifolia
L-5 HTP
L-5 Hydroxytryptophan
L-5-Hydroxytryptophane
Minichill
Oxitryptan
Relarian
Tryptophan"
1,Acai,"

Euterpe oleracea

Acai Berries
Acai Berry
Acai Berry Juice
Acai Extract
Acai Fruit
Acai Palm
Amazon Acai
Amazon Acai Berries
Amazon Acai Berry
Amazonian Palm Berries
Amazonian Palm Berry
Assai Palm
Cabbage Palm
Palma Manaca"
2,Acerola,"Acerola also is known as Barbados cherry, West Indian cherry, Puerto Rican cherry, Antilles cherry, cereso, cereza, cerisier, and semeruco."
3,Acetyl-L-Carnitine,"
Acetyl Carnitine
Acetyl L-Carnitine Hydrochloride
Acetyl-L-Carnitine Arginate Dihydrochloride
Acetyl-L-Carnitine Arginate HCl
Acetyl-L-Carnitine HCl
Acetyl-Levocarnitine
Acetylcarnitine
ALC
ALCAR
Aminocarnitine
Bicarnesine
Carnitine
Carnitine Acetyl Ester
Carnitine, Acetyl-L
Carnitor
Gamma-Trimethyl-Beta-Acetylbutyrobetaine
L-3-hydroxytrimethylaminobutanoate
L-Acetylcarnitine
L-beta-hydroxy-γ-trimethyl-amino-butyric acid
L-Carnitine
LC
Levacecarnine
Levocarnitine
N-Acetyl-Carnitine
N-Acetyl-Carnitine Hydrochloride
N-Acetyl-L-Carnitine
Propionyl-L-carnitine
ST-200
Vitamin B(t) Acetate
Vitamin BT
γ-trimethyl-beta-acetyl-butyrobetaine"
4,Acidophilus,
5,Aconite,"Aconite tuber, monkshood, friar's cap, helmet flower, soldier's cap, wolfsbane, devil's helmet, blue rocket, leopard's bane, chuanwu, caowu, wutou, futzu, and bushi."
6,Adrenal Extract,"
ACE
Adrenal Complex
Adrenal Concentrate
Adrenal Cortex
Adrenal Cortex Extract
Adrenal Factors
Adrenal Medulla
Adrenal Polypeptide Fractions
Adrenal Powder
Adrenal Substance
Lyophilized Adrenal Tissue
Whole Adrenal Extract"
7,African Mango,"

Irvingia gabonensis

African Wild Mango
Agbono
Bread Tree
Bush Mango
Dika
Dika Bread Tree
Dika Nut
Dikabread tree
Dikanut
Dikka
Duiker Nut
Etima
Iba-tree
Irvingia
Kaka
Odika
Ogbono
Sweet Bush Mango
Wild Mango"
8,Alfalfa,"

Medicago sativa

Alfa
Alfalfa Juice
Feuille de Luzerne
Grand Trèfle
Herbe aux Bisons
Herbe à Vaches
Lucerne
Luzerne
Medicago
Phyoestrogen
Phyto-œstrogène
Purple Medick
Sanfoin"
9,Aloe,"

A. vera


Aloe africana


Aloe arborescens


Aloe barbadensis


Aloe ferox


Aloe indica


Aloe perryi


Aloe vera


Aloe vulgaris

Aloe Capensis
Aloe Gel
Aloe Latex
Aloe Leaf Gel
Aloe Vera
Aloe Vera Barbenoids
Aloe Vera Gel
Aloes
Barbados
Barbados Aloe
Burn Plant
Cape
Cape Aloe
Curacao
Curacao Aloe
Elephant's Gall
Ghee-Kunwar
Ghi-Kuvar
Ghrita-Kumari
Gvar Patha
Hsiang-Dan
Indian Aloe
Jafarabad Aloe
Kanya
Kumari
Lily of the Desert
Lu-Hui
Plant of Immortality
Socotrine
Zanzibar"
10,Alpha-Lipoic Acid,"

1,2-dithiolane-3-pentanoic acid


1,2-dithiolane-3-valeric acid


5-(1,2-dithiolan-3-yl) valeric acid


6,8-thioctic acid


Alpha-lipoic acid

A-Lipoic Acid
Acetate Replacing Factor
ALA
Alpha Lipoic Acid
Alpha-Lipoate
Alpha-Lipoic Acid
Alphalipoicacidala
Biletan
Dihydrolipoic Acid
Lipoic Acid
Lipoicin
R-Lipoic Acid
S-Alpha-Lipoic Acid
S-Lipoic Acid
Thioctacid
Thioctan
Thioctic Acid"
11,Angelica,"Angelica also is known as European angelica, Echt engelwurz (German), Garden Angelica, Holy Ghost, Wild Celery, Norwegian angelica, Chorak (Indian)"
12,Anise,"Anise also is known as aniseed, and sweet cumin."
13,Aortic Extract,"
Aortic GAGs
Aortic Glycosaminoglycanes
Aortic Glycosaminoglycannes
Aortic Glycosaminoglycans
GAG
Glycosaminoglycanes
Glycosaminoglycannes
Glycosaminoglycans
Heparinoid Fraction
Heparinoids
Héparinoïdes
Mesoglicano
Mesoglycan
Mesoglycan Sodium
Mucopolysaccharide
Mésoglycane
Prisma
Sulfomucopolysaccharide"
14,Arabinoxylane,"
Arbainoxylane
AX
Biobran
Cinnamon AX
Hemicellulose Complex With Arabinoxylane
Kawaratake Mushroom
MGN-3
Rice Bran
Shiitake Mushroom
Suehirotake Mushroom"
15,Arginine,"
Arginine Ethyl Ester
Arginine Ethyl Ester Dihydrochloride
Arginine Ethyl Ester HCl
Arginine HCl
Arginine Hydrochloride
Di-Arginine Malate
Di-Arginine Orotate
Di-L-Arginine-L-Malate
Dl-Arginine
L-Arginine
L-Arginine Ethyl Ester Dichloride
L-Arginine HCl
L-Arginine Hexanoate
L-Arginine Hydrochloride
L-Arginine Ketoisocaproic Acid
L-Arginine L-Pyroglutamate
L-Arginine Pyroglutamate
L-Arginine Taurinate"
