,Medicines,Description
0,5-Hydroxytryptophan,
1,Acai,
2,Acerola,"


Acerola (previously M. punicifolia) is native to the West Indies. It also is found in northern South America, Central America, Texas, and Florida. This small shrub or tree has 5-petaled flowers ranging from pink to white in color. Acerola fruit is a bright red cherry-like fruit containing several small seeds. Mature fruits are soft and pleasant tasting. They contain 80 percent juice. The fruits deteriorate rapidly once removed from the tree."
3,Acetyl-L-Carnitine,
4,Acidophilus,
5,Aconite,"


These perennial plants grow to a height of 0.6 to 1.5 m and resemble delphiniums. Aconite has characteristic helmet-shaped blue or purple flowers. Occasionally, the flowers may be white, pink, peach, or yellow. More than 100 species of Aconitum are found throughout the temperate zones of the United States and Canada. These plants also are found throughout many parts of Asia, Africa, and Europe. They contain poisonous alkaloids such as aconitine."
6,Adrenal Extract,
7,African Mango,
8,Alfalfa,
9,Aloe,
10,Alpha-Lipoic Acid,
11,Angelica,"


Angelica is a widely cultivated, scented, northern European herb with fleshy, spindle-shaped roots, an erect stalk, and many greenish-yellow flowers arranged in an umbrella-like shape. The seeds are oblong and off-white. It is similar to and sometimes confused with the extremely toxic water hemlock, Cicuta maculata. There are several recognized varieties of A. archangelica, wild and cultivated. In the US, Angelica atropurpurea often is cultivated in place of the European species. The oil has been used medicinally to stimulate gastric secretion and treat gas, and to topically treat rheumatic and skin disorders. The Ayurvedic medical system suggests angelica for CNS effects. Angelica root, root powder, essential oil, and liquid extracts made from the herb are prepared and used traditionally."
12,Anise,"


Anise is an annual herb that grows 0.3 to 0.6 m and is cultivated widely throughout the world. The flowers are yellow, compound umbels and its leaves are feather shaped. The greenish-brown, ridged seeds are used for food or the drug. They are harvested when ripe in autumn. Aniseed has an anethole-like odor and a sweet ""licorice-like"" aromatic taste, which has led to the traditional use of anise oils in licorice candy."
13,Aortic Extract,
14,Arabinoxylane,
15,Arginine,
16,Arnica,
17,Artichoke,
18,Ashwagandha,
19,Astragalus,
20,Barberry,"


The barberry grows wild throughout Europe but has been naturalized to many regions of the eastern US. M. aquifolium is an evergreen shrub native to the northwestern US and Canada. Barberry has spiny, holly-like leaves and is widely grown as an ornamental. Its yellow flowers bloom, then develop into red to blue-black oblong berries."
21,Barley Grass,"


Barley is an annual grass. Barley grass is the leaf of the barley plant, as opposed to the grain. It is capable of growing in a wide range of climatic conditions. Barley grass has greater nutritional value if harvested at a young age."
22,Bayberry,"


The bayberry grows as a large evergreen shrub or small tree that is widely distributed throughout the southern and eastern US. It is known for its small, bluish-white berries. Plant parts used include the fruits, leaves, bark, and roots. Geographical location and differing methods of harvesting, processing, and storage result in varying constituents in the juice and extract."
23,Bee Pollen,
24,Beta Glucans,"


Natural sources of beta-glucans include fungal cell walls, seaweed, oats, and barley. Although collectively termed beta-glucans, variations in composition exist as a consequence of being derived from different natural sources, as well as batch variations due to differing growing conditions. Synthetic substances are being developed to overcome such variations, but until these become widely available, information for beta-glucan depends on the source; see individual monographs for maitake (grifola) seaweed, and oats."
25,Beta-Carotene,
26,Beta-Sitosterol,
27,Betaine Hydrochloride,
28,Betel Nut,"


The areca tree is a feathery palm that grows to approximately 1.5 m in height and is widely cultivated in tropical India, Bangladesh, Japan, Sri Lanka, south China, the East Indies, the Philippines, and parts of Africa. The tropical palm trees bear fruit all year. The nut may be used fresh, dried, or cured by boiling, baking, or roasting. The quid is a mixture of areca nut, tobacco, and lime wrapped in the leaf of the betel vine (Piper betel L. Family: Piperaceae)."
