,Medicines,Page_Content
0,5-Hydroxytryptophan,"
5-Hydroxytryptophan Medically reviewed by Drugs.com.  Last updated on Aug 6, 2019. What are other common names?





2-Amino-3-(5-Hydroxy-1H-Indol-3-yl)Propanoic Acid
5 Hydroxy-Tryptophane
5-HTP
5-Hydroxy
5-Hydroxy L-Tryptophan
5-Hydroxy L-Tryptophane
5-Hydroxy Tryptophan
5-Hydroxytryptophan
5-Hydroxytryptophane
5-L-Hydroxytryptophan
5HTP
Griffonia Extract
Griffonia simplicifolia
L-5 HTP
L-5 Hydroxytryptophan
L-5-Hydroxytryptophane
Minichill
Oxitryptan
Relarian
Tryptophan

What is this product used for?
5-Hydroxytryptophan is also known as 5-HTP. It is used by some people to help with low mood or worry. Others may use it to help with sleep, headaches, menopausal symptoms, or to decrease appetite. Some people believe 5-HTP will help with alcoholism, drug withdrawal symptoms, or obesity. Others use it to help with Alzheimer's Disease, fibromyalgia, Parkinson's Disease, schizophrenia, or attention deficit-hyperactivity disorder (ADHD).
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products. If you have more than one doctor, make sure you inform each of them.


This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking.


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Avoid beer, wine, and mixed drinks (alcohol) while taking this product.


Take extra care and check with your doctor if you have:


Down syndrome


Low mood


Been taking drugs for cough or pain


Parkinson's Disease


Alzheimer's Disease




What should I watch for?


Upset stomach


Heartburn, gas, feeling of fullness


Sleepiness


Feeling dizzy


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad throwing up


Very bad belly pain


Very bad loose stools


Very bad headache


Very bad muscle pain


Last Reviewed Date2017-07-19Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
1,Acai,"
Acai Medically reviewed by Drugs.com.  Last updated on May 22, 2019. What are other common names?






Euterpe oleracea

Acai Berries
Acai Berry
Acai Berry Juice
Acai Extract
Acai Fruit
Acai Palm
Amazon Acai
Amazon Acai Berries
Amazon Acai Berry
Amazonian Palm Berries
Amazonian Palm Berry
Assai Palm
Cabbage Palm
Palma Manaca

What is this product used for?
Acai has been used by some people to help stop cell damage in the body.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Drinking raw acai juice may cause infections.


This product may interfere with MRI test results. Talk with your doctor if you are scheduled to have an MRI and you are taking this product.


Take extra care if you are allergic to plants in the palm family.


What should I watch for?


Upset stomach


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of infection. These include a fever of 100.4°F (38°C) or higher, chills, very bad sore throat, ear or sinus pain, cough, more sputum or change in color of sputum, pain with passing urine, mouth sores, wound that will not heal.


Very bad throwing up


Very bad loose stools


Where can I learn more?
National Center for Complementary and Integrative Health

https://nccih.nih.gov/health/acai/ataglance.htm

Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
2,Acerola,"
Acerola
What is Acerola?



Acerola (previously M. punicifolia) is native to the West Indies. It also is found in northern South America, Central America, Texas, and Florida. This small shrub or tree has 5-petaled flowers ranging from pink to white in color. Acerola fruit is a bright red cherry-like fruit containing several small seeds. Mature fruits are soft and pleasant tasting. They contain 80 percent juice. The fruits deteriorate rapidly once removed from the tree.
Scientific Name(s)
Malpighia glabra, M. emarginata
Common Name(s)
Acerola also is known as Barbados cherry, West Indian cherry, Puerto Rican cherry, Antilles cherry, cereso, cereza, cerisier, and semeruco.
What is it used for?
Traditional/Ethnobotanical usesAcerola is believed to originate from the yucatan. Traditionally, the fruits have been used to treat dysentery, diarrhea, and liver disorders. Other ethnobotanical uses include as an astringent and for fever.Vitamin supplementationBoth species of Malpighia have been reported to be excellent sources of vitamin C. However, the fruit of M. emarginata is known more accurately as acerola and is one of the richest sources of vitamin C. Acerola is used as a source of food and juice. Because of its high concentration of vitamin C, it also is sold as a natural health supplement. Acerola provides other useful vitamins and minerals. Acerola contains from 1 to 4.5 percent vitamin C (1,000 to 4,500 mg/100 g) in the edible portion of the fruit. This far exceeds the content of vitamin C in peeled oranges (about 0.05 or 50 mg/100 g). The content of vitamin C in acerola varies with ripeness (highest in green and lowest in fully ripened fruit). It also varies with the season and climate. Vitamin C analysis regarding acerola storage finds freezing the fruits to be the best way to preserve vitamin C, as compared with room temperature or refrigeration. In addition, acerola contains vitamin A (4,300 to 12,500 IU/100 g) at about the same level as in carrots. Other constituents include thiamine, riboflavin, niacin, calcium, iron, and bioflavonoids. It also contains phosphorus, malic acid, pantothenic acid, potassium, and magnesium. The sugars dextrose, fructose, and sucrose are also present. Acerola analysis in another report finds protein, fiber, lipids, and fatty acids. Zinc and other minerals are present, as well. Vitamin C is an essential coenzyme that is required for normal metabolic function. Many animals can synthesize vitamin C from glucose; however, humans must obtain the vitamin totally from dietary sources. Deficiencies of this water-soluble vitamin result in scurvy. This is a potentially fatal disease with multisystem involvement. Dietary supplements have traditionally provided adequate protection against the development of this disease. However, controversy has focused on whether vitamin C derived from ""natural"" sources is more physiologic than that produced synthetically or semisynthetically (as ascorbic acid). To date, there is no clear evidence that naturally derived vitamin C is superior in its clinical effectiveness than synthetic ascorbic acid. There is a potential advantage to using acerola as a source of vitamin C. The advantage is that one receives not only ascorbic acid but also several other useful vitamins and minerals from the fruit. Whether this is superior to the use of a multiple vitamin preparation has not been determined. Research reveals no clinical data regarding the use of acerola for vitamin supplementation.AntioxidantVitamin C is known to strengthen the immune system and build collagen cells. It also supports the respiratory system. Vitamin C is known to be an effective antioxidant. The antioxidative qualities of acerola make it an ideal ingredient in skin care products to fight cellular aging. In another report, acerola extract was shown to enhance the antioxidant activity of soy and alfalfa extracts, acting synergistically. This may be beneficial in coronary artery disease.Research reveals no clinical data regarding the use of acerola as an antioxidant.
What is the recommended dosage?
There is no clinical evidence to guide human dosage of acerola.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
None well documented.
Side Effects
Large doses may produce GI distress. Prolonged, massive dosage may predispose to formation of renal calculi.
Toxicology
Vitamin C is readily excreted by the body and is not typically associated with toxicity.
References
1. Acerola. Review of Natural Products. factsandcomparisons4.0 [online]. 2005. Available from Wolters Kluwer Health, Inc. Accessed April 16, 2007.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
3,Acetyl-L-Carnitine,"
Acetyl-L-Carnitine Medically reviewed by Drugs.com.  Last updated on Aug 17, 2019. What are other common names?





Acetyl Carnitine
Acetyl L-Carnitine Hydrochloride
Acetyl-L-Carnitine Arginate Dihydrochloride
Acetyl-L-Carnitine Arginate HCl
Acetyl-L-Carnitine HCl
Acetyl-Levocarnitine
Acetylcarnitine
ALC
ALCAR
Aminocarnitine
Bicarnesine
Carnitine
Carnitine Acetyl Ester
Carnitine, Acetyl-L
Carnitor
Gamma-Trimethyl-Beta-Acetylbutyrobetaine
L-3-hydroxytrimethylaminobutanoate
L-Acetylcarnitine
L-beta-hydroxy-γ-trimethyl-amino-butyric acid
L-Carnitine
LC
Levacecarnine
Levocarnitine
N-Acetyl-Carnitine
N-Acetyl-Carnitine Hydrochloride
N-Acetyl-L-Carnitine
Propionyl-L-carnitine
ST-200
Vitamin B(t) Acetate
Vitamin BT
γ-trimethyl-beta-acetyl-butyrobetaine

What is this product used for?
Acetyl-L-carnitine is also known as ALC. It is used by some people with high blood sugar to help with cholesterol as well as nerve pain, such as tingling in their hands and feet. Others have used it to help stop cell damage. It may also help to improve appetite and increase energy levels. Some people use it to improve mood. People with blood vessel problems in their legs have used it to help them walk better and to walk with less pain. ALC may also help people with low carnitine levels to have a more normal level in their blood.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Take extra care and check with your doctor if you have:


Heart or blood vessel disease


Kidney problems


Diabetes


Seizures




Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar.


What should I watch for?


Upset stomach


Cramps


Body odor or urine smells like fish


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of low blood sugar. These include hunger, dizziness, shaking, a fast heartbeat, confusion, or sweating. 


Very bad throwing up


Very bad belly pain


Very bad loose stools


Where can I learn more?
Office of Dietary Supplements

http://ods.od.nih.gov/factsheets/Carnitine-HealthProfessional/

Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
4,Acidophilus,"
Acidophilus
Scientific names: Lactobacillus acidophilus
Efficacy-safety rating:
ÒÒ...Ethno or other evidence of efficacy.
Safety rating:
●...No safety concerns despite wide use.
What is it used for?



Traditional/Ethnobotanical uses
For several decades, health and nutritional benefits have been claimed for products containing Lactobacillus cultures. The topical or intravaginal application of yogurt products has been reported to control yeast and bacterial infections.
Replenish normal bacterial flora
L. acidophilus has been referred to as a probiotic, defined as microorganisms that have a beneficial effect on the host by improving the properties of the indigenous microflora. Products containing live cultures have been investigated for their ability to compete with pathogens in the microenvironment, thereby permitting the reestablishment of normal bacterial flora. Lactobacillus has long been considered to be a component of the protective flora in the vagina. Recently, Lactobacillus species that produce hydrogen peroxide have been found in normal vaginal flora. Consequently, the therapeutic benefits of Lactobacillus products have been investigated in women with vaginal and urinary tract infections. Its value in treating lower urinary tract infections remains unclear. Acidophilus has also been used to treat sore mouth caused by Candida infections. While some clinical studies are positive, more studies are needed to determine the exact therapeutic benefits of acidophilus.
GI uses
L. acidophilus is normally found in the human alimentary tract. Consequently, the oral administration of products containing L. acidophilus may be useful in the management of a variety of conditions associated with altered GI flora. Their beneficial effects may be related to the ability to suppress the growth of pathogens. Acidophilus also has been reported by laboratory findings to suppress the growth of C. pylori, implicated in acid-peptic disease. More clinical trials are necessary to validate these findings. The ingestion of yogurt products has been associated with decreases in the concentration of several fecal enzymes that have the capacity to convert procarcinogens to carginogens in the colon. This suggests that the consumption of Lactobacillus-containing products may have beneficial effects, although no further data are available to support this hypothesis.
Antibiotic-induced diarrhea
The ingestion of Lactobacillus preparations has been recommended to reduce the symptoms of antibiotic-induced diarrhea. Some clinical studies show that Lactobacillus-containing products help reduce the incidence of diarrhea, nausea, cramping, flatulence, and yeast superinfection with patients on antibiotics. Yet to date, no consensus has been reached regarding the effectiveness for this use. Acidophilus did not prevent travelers diarrhea in another clinical study.
Cholesterol control
Other reports have indicated that the ingestion of acidophilus-containing products can reduce serum cholesterol levels. Acidophilus bacteria have the ability to assimilate cholesterol. However, conflicting results of clinical trials remain concerning Lactobacillus species-effect on serum cholesterol levels.
Lactose intolerance
Acidophilus milk has been used to treat patients with lactose intolerance, although controversy remains regarding its effectiveness on lactose digestion.
What is the recommended dosage?
Similar to yogurt, used as a food.
How safe is it?
Contraindications
Complete avoidance of L. acidophilus in children with short-bowel syndrome may help prevent episodes of D-lactic acidosis.
Pregnancy/nursing
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
None well documented.
Side Effects
L. acidophilus is generally considered safe, as it is normally found in the human alimentary tract. However, in patients with abnormal heart valves who have recently experienced dental manipulation, endocarditis caused by Lactobacillus species has been reported.
Toxicities
No data.
References


Aciduphilus. Review of Natural Products. factsandcomparisons4.0 [online]. 2004. Available from Wolters Kluwer Health, Inc. Accessed April 16, 2007.


Copyright © 2009 Wolters Kluwer HealthFurther informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
5,Aconite,"
Aconite
What is Aconite?



These perennial plants grow to a height of 0.6 to 1.5 m and resemble delphiniums. Aconite has characteristic helmet-shaped blue or purple flowers. Occasionally, the flowers may be white, pink, peach, or yellow. More than 100 species of Aconitum are found throughout the temperate zones of the United States and Canada. These plants also are found throughout many parts of Asia, Africa, and Europe. They contain poisonous alkaloids such as aconitine.
Scientific Name(s)
Aconitum napellus L., Aconitum carmichaelii Debeaux, and Aconitum kusnezoffii Rchb. Family: Ranunculaceae (buttercups).
Common Name(s)
Aconite tuber, monkshood, friar's cap, helmet flower, soldier's cap, wolfsbane, devil's helmet, blue rocket, leopard's bane, chuanwu, caowu, wutou, futzu, and bushi.
What is it used for?
Traditional/Ethnobotanical usesVarious species of Aconitum have been used for centuries both as poisons and medicines. The root is the most toxic plant part, although all parts are considered to be toxic. Extracts of Aconitum species have been given orally in traditional medicine to reduce fever associated with colds, pneumonia, laryngitis, croup, and asthma; for pain, inflammation, and high blood pressure; as a diuretic; to cause sweating; to slow heart rate; and for sedation. In traditional Asian medicine, root extracts are typically mixed with licorice or ginger. Extracts also have been used as arrow poisons. Historically, aconite was most commonly used in Western cultures as a tincture. It was applied topically as a counterirritant liniment for neuralgia, rheumatism, and sciatica. In homeopathy, aconite is used to treat fear, anxiety, and restlessness; acute sudden fever; symptoms from exposure to dry, cold weather or very hot weather; tingling, coldness, and numbness; influenza or colds with congestion; and heavy, pulsating headaches.
What is the recommended dosage?
Extreme caution is required. Fresh aconite is extremely toxic, and safe dosage is dependent on processing. Many species are used medicinally in China only after processing. Traditional Western texts recommended 60 mg of the root per dose.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Documented adverse effects. In addition to oral administration, external application is reported to cause toxic symptoms. Avoid use.
Interactions
None well documented.
Side Effects
No data.
Toxicology
Aconitine is highly toxic. As little as 2 mg of pure aconite or 1 g of plant may cause death from paralysis of the respiratory center or cardiac muscle. Clinically important toxicity may develop following percutaneous absorption; even slight contact with the flowers can cause fingers to become numb.
References
1. Aconite. Review of Natural Products. Facts & Comparisons 4.0. St. Louis, MO: Wolters Kluwer Health, Inc.; July 2009.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about aconite
Professional resources

Aconite (Advanced Reading)


"
6,Adrenal Extract,"
Adrenal Extract Medically reviewed by Drugs.com.  Last updated on Sep 9, 2019. What are other common names?





ACE
Adrenal Complex
Adrenal Concentrate
Adrenal Cortex
Adrenal Cortex Extract
Adrenal Factors
Adrenal Medulla
Adrenal Polypeptide Fractions
Adrenal Powder
Adrenal Substance
Lyophilized Adrenal Tissue
Whole Adrenal Extract

What is this product used for?
Adrenal extract is used by some people as medicine. Science does not support the use of this product for any health problem.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Most adrenal extract is made from the adrenal glands of animals such as sheep, pigs, or cows. There is always the possibility that a product like this could have been made from the remains of diseased animals.


Take extra care if you are at a high risk for infection. This includes people who have had a transplant, are on chemo, or have an autoimmune disease.


Take extra care and check with your doctor if you have:


Problems with your immune system




What should I watch for?


Stomach cramps


Heart rate feels fast


Feeling nervous


Flushed skin or raised temperature


Not feeling hungry


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; tightness in the chest; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of infection. These include a fever of 100.4°F (38°C) or higher, chills, very bad sore throat, ear or sinus pain, cough, more sputum or change in color of sputum, pain with passing urine, mouth sores, wound that will not heal.


Very bad throwing up


Problems with sleeping, such as not being able to sleep


Last Reviewed Date2018-04-23Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
7,African Mango,"
African Mango Medically reviewed by Drugs.com.  Last updated on May 19, 2019. What are other common names?






Irvingia gabonensis

African Wild Mango
Agbono
Bread Tree
Bush Mango
Dika
Dika Bread Tree
Dika Nut
Dikabread tree
Dikanut
Dikka
Duiker Nut
Etima
Iba-tree
Irvingia
Kaka
Odika
Ogbono
Sweet Bush Mango
Wild Mango

What is this product used for?
African mango is used by some people to help with weight loss. It may help your cholesterol and blood sugar levels. You may also have a full feeling from the fiber in the product.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


This product delays stomach emptying. It may affect the absorption of certain drugs. Use caution if taking with prescription drugs.


Take extra care and check with your doctor if you have:


Diabetes


Hard stools




Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar.


What should I watch for?


Dry mouth


Increased gas


Problems with sleeping


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; tightness in the chest; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of low blood sugar. These include hunger, dizziness, shaking, a fast heartbeat, confusion, or sweating.


Hard stools


Very bad throwing up


Very bad belly pain


Very bad headache


Where can I learn more?
Health Canada

http://webprod.hc-sc.gc.ca/nhpid-bdipsn/atReq.do?atid=irvingia.gabonensis&lang=eng

Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
8,Alfalfa,"
Alfalfa
 Medically reviewed by Drugs.com.  Last updated on Mar 27, 2019. 

Professional
Breastfeeding
Reviews

More 


What are other common names?






Medicago sativa

Alfa
Alfalfa Juice
Feuille de Luzerne
Grand Trèfle
Herbe aux Bisons
Herbe à Vaches
Lucerne
Luzerne
Medicago
Phyoestrogen
Phyto-œstrogène
Purple Medick
Sanfoin

What is this product used for?
Alfalfa is used by some people as a source of some vitamins and minerals.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


You may get sunburned more easily. Avoid sun, sunlamps, and tanning beds. Use sunscreen and wear clothing and eyewear that protects you from the sun.


Alfalfa sprouts often have many germs. People who are likely to get an infection should not use fresh alfalfa sprouts. Take extra care if you are at a high risk for infection. This includes people who have had a transplant, are on chemo, or have an autoimmune disease. This also includes young children and the elderly.


Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.


Take extra care if you are taking drugs to thin your blood. These are drugs like warfarin (Coumadin), heparin, or enoxaparin (Lovenox).


Take extra care if you are taking drugs to dissolve blood clots. These are drugs like alteplase (Activase), reteplase (Retevase), or streptokinase.


Take extra care if you are taking drugs to help with swelling or inflammation. These are drugs like nonsteroidal anti-inflammatory drugs (NSAIDs), aspirin, ibuprofen (Advil), or naproxen (Naprosyn).


Take extra care and check with your doctor if you have:


Diabetes


Problems with your uterus or ovaries




Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar.


What should I watch for?


Upset stomach


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; tightness in the chest; fever; itching; bad cough; blue skin color; seizures; swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of low blood sugar. These include hunger, dizziness, shaking, a fast heartbeat, confusion, or sweating. 


Fever of 100.4°F (38°C) or higher, chills


Very bad throwing up


Very bad belly pain


Bruising or bleeding that is not normal


Changes in menstrual periods like lots of bleeding, spotting, or bleeding between cycles


Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about alfalfa

Breastfeeding
2 Reviews

Professional resources

Alfalfa (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
9,Aloe,"
Aloe
 Medically reviewed by Drugs.com.  Last updated on Jul 24, 2019. 

Overview
Side Effects
Professional
Breastfeeding
Reviews

More 


What are other common names?






A. vera


Aloe africana


Aloe arborescens


Aloe barbadensis


Aloe ferox


Aloe indica


Aloe perryi


Aloe vera


Aloe vulgaris

Aloe Capensis
Aloe Gel
Aloe Latex
Aloe Leaf Gel
Aloe Vera
Aloe Vera Barbenoids
Aloe Vera Gel
Aloes
Barbados
Barbados Aloe
Burn Plant
Cape
Cape Aloe
Curacao
Curacao Aloe
Elephant's Gall
Ghee-Kunwar
Ghi-Kuvar
Ghrita-Kumari
Gvar Patha
Hsiang-Dan
Indian Aloe
Jafarabad Aloe
Kanya
Kumari
Lily of the Desert
Lu-Hui
Plant of Immortality
Socotrine
Zanzibar

What is this product used for?
Aloe is used by some people to help heal minor wounds or skin abrasions. It may also help ease the pain of minor skin burns, like sunburn. Others may use it to treat signs of frostbite or skin conditions like psoriasis. Some people may use it as a mouthwash to help prevent plaque on teeth.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Only use aloe on your skin. Do not swallow it. Aloe can cause loose stools and other problems if you swallow it.


Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.


Take extra care if you are allergic to pollens or plants like ragweed, daisy, aster, marigolds, or chrysanthemums.


What should I watch for?


Rash


Taking too long for your wound to heal


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Bruising or bleeding that is not normal


Your skin problem is not getting better or is getting worse


Where can I learn more?
National Center for Complementary and Alternative Integrative Health

https://nccih.nih.gov/health/aloevera

Last Reviewed Date2015-12-22Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about aloe vera topical

Side Effects
Breastfeeding
En Español
1 Review
Drug class: herbal products

Consumer resources

Aloe vera topical

Other brands: OraMagic Rx
Professional resources

Aloe (Advanced Reading)

Related treatment guides

Eczema
Angular Cheilitis
Burns, External
Psoriasis
Skin and Structure Infection
Sunburn


"
