,Medicines,Precautions
0,5-Hydroxytryptophan,"
Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products. If you have more than one doctor, make sure you inform each of them.
This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking.
Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.
Avoid beer, wine, and mixed drinks (alcohol) while taking this product.
Take extra care and check with your doctor if you have:
Down syndrome
Low mood
Been taking drugs for cough or pain
Parkinson's Disease
Alzheimer's Disease"
1,Acai,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
Drinking raw acai juice may cause infections.
This product may interfere with MRI test results. Talk with your doctor if you are scheduled to have an MRI and you are taking this product.
Take extra care if you are allergic to plants in the palm family."
2,Acerola,
3,Acetyl-L-Carnitine,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
Take extra care and check with your doctor if you have:
Heart or blood vessel disease
Kidney problems
Diabetes
Seizures
Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar."
4,Acidophilus,
5,Aconite,
6,Adrenal Extract,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
Most adrenal extract is made from the adrenal glands of animals such as sheep, pigs, or cows. There is always the possibility that a product like this could have been made from the remains of diseased animals.
Take extra care if you are at a high risk for infection. This includes people who have had a transplant, are on chemo, or have an autoimmune disease.
Take extra care and check with your doctor if you have:
Problems with your immune system"
7,African Mango,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
This product delays stomach emptying. It may affect the absorption of certain drugs. Use caution if taking with prescription drugs.
Take extra care and check with your doctor if you have:
Diabetes
Hard stools
Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar."
8,Alfalfa,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
You may get sunburned more easily. Avoid sun, sunlamps, and tanning beds. Use sunscreen and wear clothing and eyewear that protects you from the sun.
Alfalfa sprouts often have many germs. People who are likely to get an infection should not use fresh alfalfa sprouts. Take extra care if you are at a high risk for infection. This includes people who have had a transplant, are on chemo, or have an autoimmune disease. This also includes young children and the elderly.
Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.
Take extra care if you are taking drugs to thin your blood. These are drugs like warfarin (Coumadin), heparin, or enoxaparin (Lovenox).
Take extra care if you are taking drugs to dissolve blood clots. These are drugs like alteplase (Activase), reteplase (Retevase), or streptokinase.
Take extra care if you are taking drugs to help with swelling or inflammation. These are drugs like nonsteroidal anti-inflammatory drugs (NSAIDs), aspirin, ibuprofen (Advil), or naproxen (Naprosyn).
Take extra care and check with your doctor if you have:
Diabetes
Problems with your uterus or ovaries
Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar."
9,Aloe,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
Only use aloe on your skin. Do not swallow it. Aloe can cause loose stools and other problems if you swallow it.
Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.
Take extra care if you are allergic to pollens or plants like ragweed, daisy, aster, marigolds, or chrysanthemums."
10,Alpha-Lipoic Acid,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking.
Take extra care and check with your doctor if you have:
Thyroid problems
Diabetes
Cancer
Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar."
11,Angelica,
12,Anise,
13,Aortic Extract,"
Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.
Most aortic extract is made from the aorta of animals such as sheep, pigs, or cows. There is always the possibility that a product like this could have been made from the remains of diseased animals.
This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking.
Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.
Take extra care if you are allergic to heparin.
Take extra care if you are taking drugs to thin your blood. Some of these are: Coumadin, Lovenox, Xarelto, or Plavix.
Take extra care if you are taking drugs to dissolve blood clots. These are drugs like alteplase (Activase), reteplase (Retavase), streptokinase (Streptase), or urokinase (Abbokinase).
Take extra care if you are taking drugs to help with swelling or inflammation. These are drugs like nonsteroidal anti-inflammatory drugs (NSAIDs), aspirin, ibuprofen (Advil), or naproxen (Naprosyn).
Take extra care if you are at a high risk for infection. This includes people who have had a transplant, are on chemo, or have an autoimmune disease.
Take extra care and check with your doctor if you have:
Heart problems
Arthritis
High blood pressure
Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.
Do not use this product if you are breastfeeding."
14,Arabinoxylane,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
Take extra care if you are allergic to mushrooms, yeast, or rice bran.
Take extra care if you are at a high risk for infection. This includes people who have had a transplant, are on chemo, or have an autoimmune disease.
Do not take this product if you are taking drugs that decrease or suppress the immune system. These are drugs like azathioprine (Imuran), cyclosporine (Neoral or Sandimmune), mycophenolate mofetil (CellCept), tacrolimus (Prograf), methotrexate (Trexall), prednisone (Deltasone), or dexamethasone (Decadron).
Take extra care and check with your doctor if you have:
Kidney problems
Diabetes
Cancer"
15,Arginine,"
Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.
Do not use this product if your body cannot use arginine. Some people are born with this problem.
Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.
Do not use this product if you are taking drugs for high blood pressure. These are drugs like captopril (Capoten), losartan (Cozaar), diltiazem (Cardizem), or furosemide (Lasix).
Take extra care if you are taking drugs that relax your blood vessels. These are drugs like nitroglycerin (Nitrostat), isosorbide dinitrate (Isordil), or sildenafil (Viagra).
Take extra care if you are taking drugs to thin your blood. These are drugs like warfarin (Coumadin), heparin, or enoxaparin (Lovenox).
Take extra care if you are taking drugs to dissolve blood clots. These are drugs like alteplase (Activase), reteplase (Retevase), or streptokinase.
Take extra care and check with your doctor if you have:
Heart problems or a recent heart attack
Kidney problems
Liver problems
Diabetes
Blood pressure problems
Breathing problems like asthma or COPD
Fever blisters or other herpes virus infections"
16,Arnica,"
Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.
Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.
Do not use this product on broken skin. Do not take this product by mouth.
Do not use this product if you are pregnant or plan to become pregnant soon.
Take extra care if you are allergic to pollens or plants like ragweed, daisy, aster, marigolds, or chrysanthemums.
Take extra care if you are taking drugs that can thin your blood. These are drugs like aspirin, ibuprofen (Advil), naproxen (Naprosyn), warfarin (Coumadin), enoxaparin (Lovenox).
Take extra care and check with your doctor if you have:
Bleeding problems
Stomach problems
High blood pressure
Fast heart rate"
17,Artichoke,"
Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.
Do not use if you have problems with your bile ducts or have had gallstones.
Take extra care if you are allergic to plants like ragweed, daisy, aster, marigolds, or chrysanthemums.
Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar.
Take extra care and check with your doctor if you have:
Blood sugar problems"
