,Medicines,Uses
0,5-Hydroxytryptophan,"
5-Hydroxytryptophan is also known as 5-HTP. It is used by some people to help with low mood or worry. Others may use it to help with sleep, headaches, menopausal symptoms, or to decrease appetite. Some people believe 5-HTP will help with alcoholism, drug withdrawal symptoms, or obesity. Others use it to help with Alzheimer's Disease, fibromyalgia, Parkinson's Disease, schizophrenia, or attention deficit-hyperactivity disorder (ADHD)."
1,Acai,"
Acai has been used by some people to help stop cell damage in the body."
2,Acerola,"Traditional/Ethnobotanical usesAcerola is believed to originate from the yucatan. Traditionally, the fruits have been used to treat dysentery, diarrhea, and liver disorders. Other ethnobotanical uses include as an astringent and for fever.Vitamin supplementationBoth species of Malpighia have been reported to be excellent sources of vitamin C. However, the fruit of M. emarginata is known more accurately as acerola and is one of the richest sources of vitamin C. Acerola is used as a source of food and juice. Because of its high concentration of vitamin C, it also is sold as a natural health supplement. Acerola provides other useful vitamins and minerals. Acerola contains from 1 to 4.5 percent vitamin C (1,000 to 4,500 mg/100 g) in the edible portion of the fruit. This far exceeds the content of vitamin C in peeled oranges (about 0.05 or 50 mg/100 g). The content of vitamin C in acerola varies with ripeness (highest in green and lowest in fully ripened fruit). It also varies with the season and climate. Vitamin C analysis regarding acerola storage finds freezing the fruits to be the best way to preserve vitamin C, as compared with room temperature or refrigeration. In addition, acerola contains vitamin A (4,300 to 12,500 IU/100 g) at about the same level as in carrots. Other constituents include thiamine, riboflavin, niacin, calcium, iron, and bioflavonoids. It also contains phosphorus, malic acid, pantothenic acid, potassium, and magnesium. The sugars dextrose, fructose, and sucrose are also present. Acerola analysis in another report finds protein, fiber, lipids, and fatty acids. Zinc and other minerals are present, as well. Vitamin C is an essential coenzyme that is required for normal metabolic function. Many animals can synthesize vitamin C from glucose; however, humans must obtain the vitamin totally from dietary sources. Deficiencies of this water-soluble vitamin result in scurvy. This is a potentially fatal disease with multisystem involvement. Dietary supplements have traditionally provided adequate protection against the development of this disease. However, controversy has focused on whether vitamin C derived from ""natural"" sources is more physiologic than that produced synthetically or semisynthetically (as ascorbic acid). To date, there is no clear evidence that naturally derived vitamin C is superior in its clinical effectiveness than synthetic ascorbic acid. There is a potential advantage to using acerola as a source of vitamin C. The advantage is that one receives not only ascorbic acid but also several other useful vitamins and minerals from the fruit. Whether this is superior to the use of a multiple vitamin preparation has not been determined. Research reveals no clinical data regarding the use of acerola for vitamin supplementation.AntioxidantVitamin C is known to strengthen the immune system and build collagen cells. It also supports the respiratory system. Vitamin C is known to be an effective antioxidant. The antioxidative qualities of acerola make it an ideal ingredient in skin care products to fight cellular aging. In another report, acerola extract was shown to enhance the antioxidant activity of soy and alfalfa extracts, acting synergistically. This may be beneficial in coronary artery disease.Research reveals no clinical data regarding the use of acerola as an antioxidant."
3,Acetyl-L-Carnitine,"
Acetyl-L-carnitine is also known as ALC. It is used by some people with high blood sugar to help with cholesterol as well as nerve pain, such as tingling in their hands and feet. Others have used it to help stop cell damage. It may also help to improve appetite and increase energy levels. Some people use it to improve mood. People with blood vessel problems in their legs have used it to help them walk better and to walk with less pain. ALC may also help people with low carnitine levels to have a more normal level in their blood."
4,Acidophilus,"


Traditional/Ethnobotanical uses
For several decades, health and nutritional benefits have been claimed for products containing Lactobacillus cultures. The topical or intravaginal application of yogurt products has been reported to control yeast and bacterial infections.
Replenish normal bacterial flora
L. acidophilus has been referred to as a probiotic, defined as microorganisms that have a beneficial effect on the host by improving the properties of the indigenous microflora. Products containing live cultures have been investigated for their ability to compete with pathogens in the microenvironment, thereby permitting the reestablishment of normal bacterial flora. Lactobacillus has long been considered to be a component of the protective flora in the vagina. Recently, Lactobacillus species that produce hydrogen peroxide have been found in normal vaginal flora. Consequently, the therapeutic benefits of Lactobacillus products have been investigated in women with vaginal and urinary tract infections. Its value in treating lower urinary tract infections remains unclear. Acidophilus has also been used to treat sore mouth caused by Candida infections. While some clinical studies are positive, more studies are needed to determine the exact therapeutic benefits of acidophilus.
GI uses
L. acidophilus is normally found in the human alimentary tract. Consequently, the oral administration of products containing L. acidophilus may be useful in the management of a variety of conditions associated with altered GI flora. Their beneficial effects may be related to the ability to suppress the growth of pathogens. Acidophilus also has been reported by laboratory findings to suppress the growth of C. pylori, implicated in acid-peptic disease. More clinical trials are necessary to validate these findings. The ingestion of yogurt products has been associated with decreases in the concentration of several fecal enzymes that have the capacity to convert procarcinogens to carginogens in the colon. This suggests that the consumption of Lactobacillus-containing products may have beneficial effects, although no further data are available to support this hypothesis.
Antibiotic-induced diarrhea
The ingestion of Lactobacillus preparations has been recommended to reduce the symptoms of antibiotic-induced diarrhea. Some clinical studies show that Lactobacillus-containing products help reduce the incidence of diarrhea, nausea, cramping, flatulence, and yeast superinfection with patients on antibiotics. Yet to date, no consensus has been reached regarding the effectiveness for this use. Acidophilus did not prevent travelers diarrhea in another clinical study.
Cholesterol control
Other reports have indicated that the ingestion of acidophilus-containing products can reduce serum cholesterol levels. Acidophilus bacteria have the ability to assimilate cholesterol. However, conflicting results of clinical trials remain concerning Lactobacillus species-effect on serum cholesterol levels.
Lactose intolerance
Acidophilus milk has been used to treat patients with lactose intolerance, although controversy remains regarding its effectiveness on lactose digestion."
5,Aconite,"Traditional/Ethnobotanical usesVarious species of Aconitum have been used for centuries both as poisons and medicines. The root is the most toxic plant part, although all parts are considered to be toxic. Extracts of Aconitum species have been given orally in traditional medicine to reduce fever associated with colds, pneumonia, laryngitis, croup, and asthma; for pain, inflammation, and high blood pressure; as a diuretic; to cause sweating; to slow heart rate; and for sedation. In traditional Asian medicine, root extracts are typically mixed with licorice or ginger. Extracts also have been used as arrow poisons. Historically, aconite was most commonly used in Western cultures as a tincture. It was applied topically as a counterirritant liniment for neuralgia, rheumatism, and sciatica. In homeopathy, aconite is used to treat fear, anxiety, and restlessness; acute sudden fever; symptoms from exposure to dry, cold weather or very hot weather; tingling, coldness, and numbness; influenza or colds with congestion; and heavy, pulsating headaches."
6,Adrenal Extract,"
Adrenal extract is used by some people as medicine. Science does not support the use of this product for any health problem."
7,African Mango,"
African mango is used by some people to help with weight loss. It may help your cholesterol and blood sugar levels. You may also have a full feeling from the fiber in the product."
8,Alfalfa,"
Alfalfa is used by some people as a source of some vitamins and minerals."
9,Aloe,"
Aloe is used by some people to help heal minor wounds or skin abrasions. It may also help ease the pain of minor skin burns, like sunburn. Others may use it to treat signs of frostbite or skin conditions like psoriasis. Some people may use it as a mouthwash to help prevent plaque on teeth."
